antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
phlegm,"chest_pain, malaise",0.07195121951219512,0.07073170731707316,0.06951219512195123,0.9661016949152544,13.658679135008772,1.0,0.06442296252230816,27.413414634146505,0.9986398321691219,0.9500000000000003,0.9635215089639221,0.9744301578024549
"chest_pain, malaise",phlegm,0.07073170731707316,0.07195121951219512,0.06951219512195123,0.9827586206896554,13.65867913500877,1.0,0.06442296252230816,53.826829268293274,0.9973292812082699,0.9500000000000003,0.9814219040282751,0.9744301578024549
phlegm,"chest_pain, fatigue",0.07195121951219512,0.06951219512195123,0.06829268292682927,0.9491525423728815,13.654475170978294,1.0,0.06329119571683522,18.299593495935007,0.9986155434578562,0.9333333333333332,0.9453539773863209,0.9658043413618793
"chest_pain, chills",phlegm,0.06951219512195123,0.07195121951219512,0.06829268292682927,0.9824561403508771,13.654475170978294,1.0,0.06329119571683522,52.898780487804714,0.995997940460588,0.9333333333333332,0.981095972519999,0.9658043413618793
phlegm,"chest_pain, chills",0.07195121951219512,0.06951219512195123,0.06829268292682927,0.9491525423728815,13.654475170978294,1.0,0.06329119571683522,18.299593495935007,0.9986155434578562,0.9333333333333332,0.9453539773863209,0.9658043413618793
"chest_pain, fatigue",phlegm,0.06951219512195123,0.07195121951219512,0.06829268292682927,0.9824561403508771,13.654475170978294,1.0,0.06329119571683522,52.898780487804714,0.995997940460588,0.9333333333333332,0.981095972519999,0.9658043413618793
phlegm,"high_fever, chest_pain",0.07195121951219512,0.06951219512195123,0.06829268292682927,0.9491525423728815,13.654475170978294,1.0,0.06329119571683522,18.299593495935007,0.9986155434578562,0.9333333333333332,0.9453539773863209,0.9658043413618793
"high_fever, chest_pain",phlegm,0.06951219512195123,0.07195121951219512,0.06829268292682927,0.9824561403508771,13.654475170978294,1.0,0.06329119571683522,52.898780487804714,0.995997940460588,0.9333333333333332,0.981095972519999,0.9658043413618793
"chest_pain, cough, malaise",phlegm,0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
"cough, malaise",phlegm,0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
phlegm,"cough, malaise",0.07195121951219512,0.06707317073170732,0.06585365853658537,0.9152542372881357,13.645608628659478,1.0,0.061027662105889356,11.008536585365867,0.9985642672896287,0.8999999999999999,0.9091614046748645,0.9485362095531588
"cough, malaise","phlegm, chest_pain",0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
phlegm,"chest_pain, cough, malaise",0.07195121951219512,0.06707317073170732,0.06585365853658537,0.9152542372881357,13.645608628659478,1.0,0.061027662105889356,11.008536585365867,0.9985642672896287,0.8999999999999999,0.9091614046748645,0.9485362095531588
phlegm,"chest_pain, chills, malaise",0.07195121951219512,0.06707317073170732,0.06585365853658537,0.9152542372881357,13.645608628659478,1.0,0.061027662105889356,11.008536585365867,0.9985642672896287,0.8999999999999999,0.9091614046748645,0.9485362095531588
"phlegm, chest_pain","cough, malaise",0.07195121951219512,0.06707317073170732,0.06585365853658537,0.9152542372881357,13.645608628659478,1.0,0.061027662105889356,11.008536585365867,0.9985642672896287,0.8999999999999999,0.9091614046748645,0.9485362095531588
phlegm,"high_fever, chest_pain, malaise",0.07195121951219512,0.06707317073170732,0.06585365853658537,0.9152542372881357,13.645608628659478,1.0,0.061027662105889356,11.008536585365867,0.9985642672896287,0.8999999999999999,0.9091614046748645,0.9485362095531588
